,item_number,condition_answer_x,condition,condition_context_x,helpfulness,posterior,prior,kl,kl_exp,entropy_reduction,Input.list,anon_id,answer,condition_answer_y,condition_context_y,context,experiment,passed,response,slider_position
32,6,exhaustive-answer,context-positive-bias answer-exhaustive-answer,positive-bias,1.0,0.9040646508,0.9854371708,0.05747552924122659,0.055855005951864545,-0.24001251071368837,4,590540bbc88a4a9dfa458f6dfffb993100ae2c69fd626babb0c8b70712154f3d,There are three slices left.,exhaustive-answer,positive-bias,"It's afternoon at the office and you're ready for a snack. There was a birthday party for Lily earlier in the week, and the cake was so big that the party-goers barely made a dent in it.",helpfulness,True,1.0,1.0
33,6,high-certainty,context-positive-bias answer-high-certainty,positive-bias,0.9574,0.2907447541,0.9854371708,1.1462762424494146,0.6821819540313699,-0.5267705794955737,5,a0621e085154f26a0894d27419742f3a1c5433b4ab4350c52cf0749009adbf8a,The cake box is still on the counter in the kitchen.,high-certainty,positive-bias,"It's afternoon at the office and you're ready for a snack. There was a birthday party for Lily earlier in the week, and the cake was so big that the party-goers barely made a dent in it.",helpfulness,True,0.9574,0.9574
34,6,low-certainty,context-positive-bias answer-low-certainty,positive-bias,0.074,0.9602356182,0.9854371708,0.010901055455738296,0.010841854264479478,-0.09114801837777176,6,b694ef4ac331c8abf39d2b41e1a7f1d16d7f282dc1308461c7e906cbc06856b7,I saw someone with a slice yesterday.,low-certainty,positive-bias,"It's afternoon at the office and you're ready for a snack. There was a birthday party for Lily earlier in the week, and the cake was so big that the party-goers barely made a dent in it.",helpfulness,True,0.074,0.074
35,6,non-answer,context-positive-bias answer-non-answer,positive-bias,0.034,0.9451874073000001,0.9854371708,0.02179257986598596,0.021556837183213107,-0.13640230269956122,7,992786ab4097d1033cd4d8d64a9209e25590a6e4202fa7feccde4136ae77caf5,"The cake was half chocolate, half vanilla.",non-answer,positive-bias,"It's afternoon at the office and you're ready for a snack. There was a birthday party for Lily earlier in the week, and the cake was so big that the party-goers barely made a dent in it.",helpfulness,True,0.034,0.034
36,7,non-answer,context-low-bias answer-non-answer,low-bias,0.0,0.1172933952,0.2076029254,0.03300702465963236,0.03246823701615831,0.14926600306808901,11,858224efa47e4a38e69e6089acf703710f3f10a0cd763076a45829330b79157b,Lauren had sushi for lunch.,non-answer,low-bias,"You and your colleague Lauren are CIA analysts. Lauren is a star employee with good credentials and a brilliant knack for puzzle solving. But she is also a bit secretive---not entirely unexpected given your line of work, but your training causes you to dwell on some suspicious details from your conversations. On Monday your boss told you confidentially that your department is under investigation because the director suspects that a mole is leaking information to a foreign power.",helpfulness,True,0.0,0.0
37,7,low-certainty,context-negative-bias answer-low-certainty,negative-bias,0.1373,0.4982000043,0.1021059754,0.3606030312578647,0.3027442677331109,-0.3634549137732436,0,adb108e1c1f7b9c38be07ce5d11be5e53e47b6b16ac43c5d4f69934f00dfa4dd,She has weekly meetings with her phone turned off.,low-certainty,negative-bias,You and your colleague Lauren are CIA analysts. Lauren is a star employee with good credentials and a brilliant knack for puzzle solving. She seems completely loyal to the agency. On Monday your boss told you confidentially that your department is under investigation because the director suspects that a mole is leaking information to a foreign power.,helpfulness,True,0.1373,0.1373
38,7,high-certainty,context-positive-bias answer-high-certainty,positive-bias,1.0,0.1464230044,0.91309448,1.4727274325315602,0.7707007666433839,-0.12113466755137342,4,590540bbc88a4a9dfa458f6dfffb993100ae2c69fd626babb0c8b70712154f3d,She was caught carrying a sensitive document outside the office.,high-certainty,positive-bias,"You and your colleague Lauren are CIA analysts. Lauren is a star employee with good credentials and a brilliant knack for puzzle solving. But lately you have noticed some suspicious things about her habits. She is almost always the last to leave, but one time when you stayed to work late, you noticed her talking to a shady figure in the parking lot. Another time, you could have sworn you saw her slip some documents into her bag before leaving---documents that are not supposed to leave the office. On Monday your boss told you confidentially that your department is under investigation because the director suspects that a mole is leaking information to a foreign power.",helpfulness,True,1.0,1.0
39,7,low-certainty,context-positive-bias answer-low-certainty,positive-bias,0.6821,0.7092552459,0.91309448,0.12572026902069836,0.11813850373598433,-0.30749792604046244,5,a0621e085154f26a0894d27419742f3a1c5433b4ab4350c52cf0749009adbf8a,She has weekly meetings with her phone turned off.,low-certainty,positive-bias,"You and your colleague Lauren are CIA analysts. Lauren is a star employee with good credentials and a brilliant knack for puzzle solving. But lately you have noticed some suspicious things about her habits. She is almost always the last to leave, but one time when you stayed to work late, you noticed her talking to a shady figure in the parking lot. Another time, you could have sworn you saw her slip some documents into her bag before leaving---documents that are not supposed to leave the office. On Monday your boss told you confidentially that your department is under investigation because the director suspects that a mole is leaking information to a foreign power.",helpfulness,True,0.6821,0.6821
40,7,non-answer,context-positive-bias answer-non-answer,positive-bias,0.0,0.6948368933,0.91309448,0.1402674274005275,0.13087422372985835,-0.3198564751322578,6,b694ef4ac331c8abf39d2b41e1a7f1d16d7f282dc1308461c7e906cbc06856b7,Lauren had sushi for lunch.,non-answer,positive-bias,"You and your colleague Lauren are CIA analysts. Lauren is a star employee with good credentials and a brilliant knack for puzzle solving. But lately you have noticed some suspicious things about her habits. She is almost always the last to leave, but one time when you stayed to work late, you noticed her talking to a shady figure in the parking lot. Another time, you could have sworn you saw her slip some documents into her bag before leaving---documents that are not supposed to leave the office. On Monday your boss told you confidentially that your department is under investigation because the director suspects that a mole is leaking information to a foreign power.",helpfulness,True,0.0,0.0
41,7,reductive-answer,context-positive-bias answer-reductive-answer,positive-bias,0.7125,0.5944659543,0.91309448,0.2580103459961859,0.2274127611190475,-0.3798725712304687,7,992786ab4097d1033cd4d8d64a9209e25590a6e4202fa7feccde4136ae77caf5,She's the mole if she leaves the country tomorrow.,reductive-answer,positive-bias,"You and your colleague Lauren are CIA analysts. Lauren is a star employee with good credentials and a brilliant knack for puzzle solving. But lately you have noticed some suspicious things about her habits. She is almost always the last to leave, but one time when you stayed to work late, you noticed her talking to a shady figure in the parking lot. Another time, you could have sworn you saw her slip some documents into her bag before leaving---documents that are not supposed to leave the office. On Monday your boss told you confidentially that your department is under investigation because the director suspects that a mole is leaking information to a foreign power.",helpfulness,True,0.7125,0.7125
42,8,exhaustive-answer,context-low-bias answer-exhaustive-answer,low-bias,1.0,1.0,0.6948368933,inf,1.0,0.6151757263927874,7,992786ab4097d1033cd4d8d64a9209e25590a6e4202fa7feccde4136ae77caf5,Tony got Ethan The Joy of Cooking.,exhaustive-answer,low-bias,Tony got Ethan a book-shaped birthday gift. The book looks big and is probably a hardcover. You wonder if it could be a cool new cookbook.,helpfulness,True,1.0,1.0
43,8,reductive-answer,context-low-bias answer-reductive-answer,low-bias,0.8099000000000001,0.9014401805000001,0.6948368933,0.16401253165716032,0.15126861419718507,0.29326872541252313,11,858224efa47e4a38e69e6089acf703710f3f10a0cd763076a45829330b79157b,"If Tony knows Ethan likes to cook, then he got him a cookbook.",reductive-answer,low-bias,Tony got Ethan a book-shaped birthday gift. The book looks big and is probably a hardcover. You wonder if it could be a cool new cookbook.,helpfulness,True,0.8099000000000001,0.8099000000000001
44,8,non-answer,context-negative-bias answer-non-answer,negative-bias,0.0,0.0034093471,0.014966766800000001,0.010650364920764028,0.010593850594963428,0.05497057571156405,0,adb108e1c1f7b9c38be07ce5d11be5e53e47b6b16ac43c5d4f69934f00dfa4dd,Ethan's sister gave him fuzzy socks.,non-answer,negative-bias,Tony got Ethan a book-shaped birthday gift. The book looks big and is probably a hardcover. You know that Ethan loves long fantasy novels.,helpfulness,True,0.0,0.0
45,8,low-certainty,context-positive-bias answer-low-certainty,positive-bias,0.9648,0.7686813425,0.7043829051,0.010974702949900786,0.010914700600735294,0.0662400222331363,4,590540bbc88a4a9dfa458f6dfffb993100ae2c69fd626babb0c8b70712154f3d,Tony asked about cookbook recommendations the other day.,low-certainty,positive-bias,"Tony got Ethan a book-shaped birthday gift. The book looks big and is probably a hardcover. You know that Ethan is really into cooking, so the first possibility that comes to your mind is that Tony got him a cookbook.",helpfulness,True,0.9648,0.9648
46,8,non-answer,context-positive-bias answer-non-answer,positive-bias,0.0,0.9795846520000001,0.7043829051,0.5578087861345092,0.427537922621429,0.5074536079416442,5,a0621e085154f26a0894d27419742f3a1c5433b4ab4350c52cf0749009adbf8a,Ethan's sister gave him fuzzy socks.,non-answer,positive-bias,"Tony got Ethan a book-shaped birthday gift. The book looks big and is probably a hardcover. You know that Ethan is really into cooking, so the first possibility that comes to your mind is that Tony got him a cookbook.",helpfulness,True,0.0,0.0
47,8,reductive-answer,context-positive-bias answer-reductive-answer,positive-bias,0.614,0.8050530701,0.7043829051,0.028980766570242775,0.028564851683384185,0.11378773195531222,6,b694ef4ac331c8abf39d2b41e1a7f1d16d7f282dc1308461c7e906cbc06856b7,"If Tony knows Ethan likes to cook, then he got him a cookbook.",reductive-answer,positive-bias,"Tony got Ethan a book-shaped birthday gift. The book looks big and is probably a hardcover. You know that Ethan is really into cooking, so the first possibility that comes to your mind is that Tony got him a cookbook.",helpfulness,True,0.614,0.614
48,9,exhaustive-answer,context-low-bias answer-exhaustive-answer,low-bias,0.7861,0.9845839876,0.9040646508,0.09826222187928865,0.09358880825746918,0.23644156131634814,6,b694ef4ac331c8abf39d2b41e1a7f1d16d7f282dc1308461c7e906cbc06856b7,It's open all week.,exhaustive-answer,low-bias,"After a rowdy Sunday night, you wake up with a burning desire for pizza. Since you recently moved to the neighborhood, you're not sure whether your favorite pizza place is open on Mondays.",helpfulness,True,0.7861,0.7861
49,9,high-certainty,context-low-bias answer-high-certainty,low-bias,1.0,0.9982925924,0.9040646508,0.29686060424544986,0.25685240323784786,0.30347222793171125,7,992786ab4097d1033cd4d8d64a9209e25590a6e4202fa7feccde4136ae77caf5,Google maps says it's open on Monday.,high-certainty,low-bias,"After a rowdy Sunday night, you wake up with a burning desire for pizza. Since you recently moved to the neighborhood, you're not sure whether your favorite pizza place is open on Mondays.",helpfulness,True,1.0,1.0
50,9,exhaustive-answer,context-negative-bias answer-exhaustive-answer,negative-bias,1.0,0.0590626992,0.3148007954,0.3094464009124016,0.2661468957987412,0.3985074706709856,11,858224efa47e4a38e69e6089acf703710f3f10a0cd763076a45829330b79157b,It's open all week.,exhaustive-answer,negative-bias,"After a rowdy Sunday night, you wake up with a burning desire for pizza. You wonder whether your favorite pizza place is open, but you remember another similar Monday when you found that it was closed.",helpfulness,True,1.0,1.0
51,9,reductive-answer,context-negative-bias answer-reductive-answer,negative-bias,1.0,0.11700930470000001,0.3148007954,0.1377841403503353,0.1287132528997268,0.26196456797750123,0,adb108e1c1f7b9c38be07ce5d11be5e53e47b6b16ac43c5d4f69934f00dfa4dd,"If it's closed on Sunday, then it's open on Monday.",reductive-answer,negative-bias,"After a rowdy Sunday night, you wake up with a burning desire for pizza. You wonder whether your favorite pizza place is open, but you remember another similar Monday when you found that it was closed.",helpfulness,True,1.0,1.0
52,9,non-answer,context-positive-bias answer-non-answer,positive-bias,0.0,0.900999835,0.9252159336,0.0035604713970873066,0.003554140434768205,-0.0570389053764509,4,590540bbc88a4a9dfa458f6dfffb993100ae2c69fd626babb0c8b70712154f3d,Weekend hours are 10am to 10pm.,non-answer,positive-bias,"After a rowdy Sunday night, you wake up with a burning desire for pizza. You have a hazy memory of getting pizza from your favorite place on a Monday under similar circumstances, but you still wonder if the pizza place is open today.",helpfulness,True,0.0,0.0
53,9,reductive-answer,context-positive-bias answer-reductive-answer,positive-bias,0.9813000000000001,0.9588459589,0.9252159336,0.011633984094513272,0.011566570982505575,0.09424706698348717,5,a0621e085154f26a0894d27419742f3a1c5433b4ab4350c52cf0749009adbf8a,"If it's closed on Sunday, then it's open on Monday.",reductive-answer,positive-bias,"After a rowdy Sunday night, you wake up with a burning desire for pizza. You have a hazy memory of getting pizza from your favorite place on a Monday under similar circumstances, but you still wonder if the pizza place is open today.",helpfulness,True,0.9813000000000001,0.9813000000000001
54,10,exhaustive-answer,context-low-bias answer-exhaustive-answer,low-bias,1.0,1.0,0.7639243754,inf,1.0,0.5465140051533994,5,a0621e085154f26a0894d27419742f3a1c5433b4ab4350c52cf0749009adbf8a,Adam was very happy to learn that they got the part.,exhaustive-answer,low-bias,"Your friend Adam grew up listening to the Les Miserables soundtrack. This year, the school's drama club is putting on the show, and (naturally) Adam auditioned for the lead role. As a loyal friend, you are trying to find some information about how he did.",helpfulness,True,1.0,1.0
55,10,high-certainty,context-low-bias answer-high-certainty,low-bias,0.6805,0.2162912478,0.7639243754,0.6806889090238144,0.49373190046056203,0.024340328101989606,6,b694ef4ac331c8abf39d2b41e1a7f1d16d7f282dc1308461c7e906cbc06856b7,Everyone else got rejection letters.,high-certainty,low-bias,"Your friend Adam grew up listening to the Les Miserables soundtrack. This year, the school's drama club is putting on the show, and (naturally) Adam auditioned for the lead role. As a loyal friend, you are trying to find some information about how he did.",helpfulness,True,0.6805,0.6805
56,10,low-certainty,context-low-bias answer-low-certainty,low-bias,0.0,0.5,0.7639243754,0.1466331754065458,0.13638928703174003,-0.14663317540654586,7,992786ab4097d1033cd4d8d64a9209e25590a6e4202fa7feccde4136ae77caf5,Buster got a rejection letter yesterday.,low-certainty,low-bias,"Your friend Adam grew up listening to the Les Miserables soundtrack. This year, the school's drama club is putting on the show, and (naturally) Adam auditioned for the lead role. As a loyal friend, you are trying to find some information about how he did.",helpfulness,True,0.0,0.0
57,10,high-certainty,context-negative-bias answer-high-certainty,negative-bias,0.1796,0.9091376823,0.1053430702,1.8191221527662214,0.83783195276079,0.03213835649219593,11,858224efa47e4a38e69e6089acf703710f3f10a0cd763076a45829330b79157b,Everyone else got rejection letters.,high-certainty,negative-bias,"Your friend Adam grew up listening to the Les Miserables soundtrack. This year, the school's drama club is putting on the show, and (naturally) Adam auditioned for the lead role. Adam is enthusiastic, but he never learned how to sing. As a loyal friend, you are trying to find some information about how he did.",helpfulness,True,0.1796,0.1796
58,10,exhaustive-answer,context-positive-bias answer-exhaustive-answer,positive-bias,1.0,0.7773499245000001,0.7643012168000001,0.0004852470240236783,0.0004851293107273058,0.015829411697050988,0,adb108e1c1f7b9c38be07ce5d11be5e53e47b6b16ac43c5d4f69934f00dfa4dd,Adam was very happy to learn that they got the part.,exhaustive-answer,positive-bias,"Your friend Adam grew up listening to the Les Miserables soundtrack. By age 10 he had memorized every song and occasionally put on full-length productions with his stuffed animals. This year, the school's drama club is putting on the show, and (naturally) Adam auditioned for the lead role. As a loyal friend, you are trying to find some information about how he did.",helpfulness,True,1.0,1.0
59,10,reductive-answer,context-positive-bias answer-reductive-answer,positive-bias,0.20420000000000002,0.2581706314,0.7643012168000001,0.5592837520033147,0.4283816622502059,-0.025063664677866027,4,590540bbc88a4a9dfa458f6dfffb993100ae2c69fd626babb0c8b70712154f3d,"If Buster got rejected, Adam got the part.",reductive-answer,positive-bias,"Your friend Adam grew up listening to the Les Miserables soundtrack. By age 10 he had memorized every song and occasionally put on full-length productions with his stuffed animals. This year, the school's drama club is putting on the show, and (naturally) Adam auditioned for the lead role. As a loyal friend, you are trying to find some information about how he did.",helpfulness,True,0.20420000000000002,0.20420000000000002
